batch_name,batch_id,cell_id,experiment,variant_id,revision_strategy,accepted_comparator_strategy,accepted_comparator_cell_id,anchor_id,stress_grid_class,city,scenario,time_slice,selector_role,weather_year,physical_condition_id,sentinel_id,sampling_frame,interpretation_scope,paperb_spatial_quantile,paperb_tail_threshold,paperb_asym_threshold,paperb_save_heat_c,paperb_save_cool_c,paperb_warm_protect_cool_c,paperb_cold_protect_heat_c,paperb_tighten_dwell_steps,paperb_relax_dwell_steps,paperb_pmv_threshold,paperb_signal_alpha,paperb_adaptive_rm_clamp_low_c,paperb_adaptive_rm_clamp_high_c,paperb_met,paperb_people_activity_w,controller_semantics,inference_preprocessing,sizing_contract,accepted_trace_rows,accepted_occupied_rows,accepted_occupied_hours,accepted_zone_count,accepted_timestep_hours,accepted_facility_electricity_j,accepted_facility_natural_gas_including_service_water_j,accepted_facility_electricity_kwh_delivered,accepted_facility_natural_gas_including_service_water_kwh_delivered,accepted_total_delivered_site_electricity_plus_facility_gas_kwh,accepted_occupied_mean_heating_setpoint_c,accepted_occupied_mean_cooling_setpoint_c,accepted_occupied_worst_zone_degree_hours_above_26c,accepted_occupied_worst_zone_degree_hours_above_26c_zone,accepted_occupied_worst_zone_degree_hours_above_28c,accepted_occupied_worst_zone_degree_hours_above_28c_zone,accepted_occupied_worst_zone_degree_hours_above_30c,accepted_occupied_worst_zone_degree_hours_above_30c_zone,accepted_occupied_worst_zone_degree_hours_below_18c,accepted_occupied_worst_zone_degree_hours_below_18c_zone,accepted_occupied_worst_zone_degree_hours_below_16c,accepted_occupied_worst_zone_degree_hours_below_16c_zone,accepted_controller_evaluated_rows,accepted_branch_relax_count,accepted_branch_warm_protection_count,accepted_branch_cold_protection_count,accepted_branch_risk_hold_count,accepted_outcome_applied_count,accepted_outcome_dwell_blocked_count,accepted_outcome_bound_saturated_count,accepted_outcome_hold_count,accepted_requested_warm_direction_count,accepted_requested_cold_direction_count,accepted_setpoint_moved_count,accepted_hold_guard_count,accepted_adaptive_running_mean_outside_10_to_33p5c_rows_occ,accepted_adaptive_running_mean_outside_10_to_33p5c_pct_occ,accepted_adaptive_running_mean_clamped_rows_occ,accepted_adaptive_running_mean_clamped_pct_occ,accepted_adaptive_running_mean_clamp_flag_present,revision_trace_rows,revision_occupied_rows,revision_occupied_hours,revision_zone_count,revision_timestep_hours,revision_facility_electricity_j,revision_facility_natural_gas_including_service_water_j,revision_facility_electricity_kwh_delivered,revision_facility_natural_gas_including_service_water_kwh_delivered,revision_total_delivered_site_electricity_plus_facility_gas_kwh,revision_occupied_mean_heating_setpoint_c,revision_occupied_mean_cooling_setpoint_c,revision_occupied_worst_zone_degree_hours_above_26c,revision_occupied_worst_zone_degree_hours_above_26c_zone,revision_occupied_worst_zone_degree_hours_above_28c,revision_occupied_worst_zone_degree_hours_above_28c_zone,revision_occupied_worst_zone_degree_hours_above_30c,revision_occupied_worst_zone_degree_hours_above_30c_zone,revision_occupied_worst_zone_degree_hours_below_18c,revision_occupied_worst_zone_degree_hours_below_18c_zone,revision_occupied_worst_zone_degree_hours_below_16c,revision_occupied_worst_zone_degree_hours_below_16c_zone,revision_controller_evaluated_rows,revision_branch_relax_count,revision_branch_warm_protection_count,revision_branch_cold_protection_count,revision_branch_risk_hold_count,revision_outcome_applied_count,revision_outcome_dwell_blocked_count,revision_outcome_bound_saturated_count,revision_outcome_hold_count,revision_requested_warm_direction_count,revision_requested_cold_direction_count,revision_setpoint_moved_count,revision_hold_guard_count,revision_adaptive_running_mean_outside_10_to_33p5c_rows_occ,revision_adaptive_running_mean_outside_10_to_33p5c_pct_occ,revision_adaptive_running_mean_clamped_rows_occ,revision_adaptive_running_mean_clamped_pct_occ,revision_adaptive_running_mean_clamp_flag_present,delta_facility_electricity_kwh_delivered,delta_facility_natural_gas_including_service_water_kwh_delivered,delta_total_delivered_site_electricity_plus_facility_gas_kwh,delta_occupied_worst_zone_degree_hours_above_26c,delta_occupied_worst_zone_degree_hours_above_28c,delta_occupied_worst_zone_degree_hours_above_30c,delta_occupied_worst_zone_degree_hours_below_18c,delta_occupied_worst_zone_degree_hours_below_16c,delta_occupied_mean_heating_setpoint_c,delta_occupied_mean_cooling_setpoint_c,delta_branch_relax_count,delta_branch_warm_protection_count,delta_branch_cold_protection_count,delta_branch_risk_hold_count,delta_outcome_applied_count,delta_outcome_dwell_blocked_count,delta_outcome_bound_saturated_count,delta_outcome_hold_count,delta_setpoint_moved_count,delta_hold_guard_count,delta_adaptive_running_mean_outside_10_to_33p5c_rows_occ,delta_adaptive_running_mean_outside_10_to_33p5c_pct_occ,delta_adaptive_running_mean_clamped_rows_occ,delta_adaptive_running_mean_clamped_pct_occ,delta_total_delivered_site_energy_pct_of_accepted
adaptive,rev01_adaptive24,REV01-A024-021,C1,rev01_adaptive_rm_clamp_10_33p5,paperb_adaptive_band_clamped_relax,paperb_adaptive_band_relax,SCALED-96-007,ahmedabad_ssp245_future_extreme,late_century_hot_extreme,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,ahmedabad|ssp245|late_2080s|2081,,full_24_anchor_stress_test_grid,stress-test grid; time horizon and weather-year selection rule are confounded; not a causal future-climate contrast,0.90000000000000002,0.20000000000000001,0.10000000000000001,20,26,23.25,23.25,4,1,0.5,1,10,33.5,0.85433300000000001,93.200000000000003,corrected,training_contract,accepted_denver,35040,16704,4176,15,0.25,2060184259246.2378,89496638276.290237,572273.40534617717,24860.177298969509,597133.58264514664,20.050092792145595,25.926888769157088,8940.3690492301048,perimeter_bot_zn_1,2354.6638784535808,perimeter_bot_zn_1,192.9298063318185,perimeter_mid_zn_1,0,core_bottom,0,core_bottom,16704,15033,43,0,1628,1124,3,13949,1628,43,0,1124,1628,2614,15.648946360153257,0,0,False,35040,16704,4176,15,0.25,2060184259246.2378,89496638276.290237,572273.40534617717,24860.177298969509,597133.58264514664,20.050092792145595,25.926888769157088,8940.3690492301048,perimeter_bot_zn_1,2354.6638784535808,perimeter_bot_zn_1,192.9298063318185,perimeter_mid_zn_1,0,core_bottom,0,core_bottom,16704,15033,43,0,1628,1124,3,13949,1628,43,0,1124,1628,2614,15.648946360153257,2614,15.648946360153257,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2614,15.648946360153257,0
adaptive,rev01_adaptive24,REV01-A024-001,C1,rev01_adaptive_rm_clamp_10_33p5,paperb_adaptive_band_clamped_relax,paperb_adaptive_band_relax,SCALED-96-003,ahmedabad_ssp245_present_typical,present_typical,Ahmedabad,ssp245,baseline_2020s,typical,2025,ahmedabad|ssp245|baseline_2020s|2025,,full_24_anchor_stress_test_grid,stress-test grid; time horizon and weather-year selection rule are confounded; not a causal future-climate contrast,0.90000000000000002,0.20000000000000001,0.10000000000000001,20,26,23.25,23.25,4,1,0.5,1,10,33.5,0.85433300000000001,93.200000000000003,corrected,training_contract,accepted_denver,35040,16704,4176,15,0.25,1965070605991.9575,89274033962.289185,545852.94610887708,24798.342767302551,570651.28887617961,20.050167624521073,25.946405052681992,7967.0631945592531,perimeter_bot_zn_1,1861.9099402019815,perimeter_bot_zn_1,141.61195715317015,perimeter_bot_zn_1,0,core_bottom,0,core_bottom,16704,15233,15,0,1456,1070,2,14176,1456,15,0,1070,1456,941,5.6333812260536398,0,0,False,35040,16704,4176,15,0.25,1965070605991.9575,89274033962.289185,545852.94610887708,24798.342767302551,570651.28887617961,20.050167624521073,25.946405052681992,7967.0631945592531,perimeter_bot_zn_1,1861.9099402019815,perimeter_bot_zn_1,141.61195715317015,perimeter_bot_zn_1,0,core_bottom,0,core_bottom,16704,15233,15,0,1456,1070,2,14176,1456,15,0,1070,1456,941,5.6333812260536398,941,5.6333812260536398,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,5.6333812260536398,0
adaptive,rev01_adaptive24,REV01-A024-020,C1,rev01_adaptive_rm_clamp_10_33p5,paperb_adaptive_band_clamped_relax,paperb_adaptive_band_relax,SCALED-96-015,ahmedabad_ssp585_future_extreme,late_century_hot_extreme,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,ahmedabad|ssp585|late_2080s|2088,,full_24_anchor_stress_test_grid,stress-test grid; time horizon and weather-year selection rule are confounded; not a causal future-climate contrast,0.90000000000000002,0.20000000000000001,0.10000000000000001,20,26,23.25,23.25,4,1,0.5,1,10,33.5,0.85433300000000001,93.200000000000003,corrected,training_contract,accepted_denver,35040,16704,4176,15,0.25,2144517206490.8823,89108166122.03743,595699.22402524506,24752.26836723262,620451.4923924777,20.049988026819925,25.949607878352491,10326.303800776846,perimeter_bot_zn_1,3377.1368751451505,perimeter_bot_zn_1,400.22996550440001,perimeter_bot_zn_1,0,core_bottom,0,core_bottom,16704,16334,3,0,367,1050,0,15287,367,3,0,1050,367,4486,26.855842911877392,0,0,False,35040,16704,4176,15,0.25,2144332796360.2559,89108148556.539246,595647.99898895994,24752.263487927568,620400.26247688755,20.048850574712645,25.950745330459771,10324.847195117994,perimeter_bot_zn_1,3376.6253563044788,perimeter_bot_zn_1,400.2332918332994,perimeter_bot_zn_1,0,core_bottom,0,core_bottom,16704,16335,3,0,366,1050,0,15288,366,3,0,1050,366,4486,26.855842911877392,4486,26.855842911877392,True,-51.225036285119131,-0.0048793050518725067,-51.2299155901419,-1.4566056588519132,-0.51151884067166975,0.0033263288993907736,0,0,-0.0011374521072795574,0.0011374521072795574,1,0,0,-1,0,0,1,-1,0,-1,0,0,4486,26.855842911877392,-0.0082568768418298036
adaptive,rev01_adaptive24,REV01-A024-011,C1,rev01_adaptive_rm_clamp_10_33p5,paperb_adaptive_band_clamped_relax,paperb_adaptive_band_relax,SCALED-96-011,ahmedabad_ssp585_present_typical,present_typical,Ahmedabad,ssp585,baseline_2020s,typical,2025,ahmedabad|ssp585|baseline_2020s|2025,,full_24_anchor_stress_test_grid,stress-test grid; time horizon and weather-year selection rule are confounded; not a causal future-climate contrast,0.90000000000000002,0.20000000000000001,0.10000000000000001,20,26,23.25,23.25,4,1,0.5,1,10,33.5,0.85433300000000001,93.200000000000003,corrected,training_contract,accepted_denver,35040,16704,4176,15,0.25,1953047213409.686,89360768370.291718,542513.11483602389,24822.435658414364,567335.55049443827,20.051155411877396,25.921904932950191,7964.4139054891366,perimeter_bot_zn_1,1996.4279823574143,perimeter_mid_zn_1,165.08664006827266,perimeter_mid_zn_1,0,core_bottom,0,core_bottom,16704,14836,60,0,1808,1136,14,13746,1808,60,0,1136,1808,830,4.9688697318007664,0,0,False,35040,16704,4176,15,0.25,1953047213409.686,89360768370.291718,542513.11483602389,24822.435658414364,567335.55049443827,20.051155411877396,25.921904932950191,7964.4139054891366,perimeter_bot_zn_1,1996.4279823574143,perimeter_mid_zn_1,165.08664006827266,perimeter_mid_zn_1,0,core_bottom,0,core_bottom,16704,14836,60,0,1808,1136,14,13746,1808,60,0,1136,1808,830,4.9688697318007664,830,4.9688697318007664,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,4.9688697318007664,0
adaptive,rev01_adaptive24,REV01-A024-019,C1,rev01_adaptive_rm_clamp_10_33p5,paperb_adaptive_band_clamped_relax,paperb_adaptive_band_relax,SCALED-96-023,beijing_ssp245_future_extreme,late_century_hot_extreme,Beijing,ssp245,late_2080s,heatwave_extreme,2084,beijing|ssp245|late_2080s|2084,,full_24_anchor_stress_test_grid,stress-test grid; time horizon and weather-year selection rule are confounded; not a causal future-climate contrast,0.90000000000000002,0.20000000000000001,0.10000000000000001,20,26,23.25,23.25,4,1,0.5,1,10,33.5,0.85433300000000001,93.200000000000003,corrected,training_contract,accepted_denver,35040,16704,4176,15,0.25,1564724350006.8848,231510732487.50562,434645.65277969022,64308.536802084891,498954.18958177511,20.189508635422278,25.070794554962507,3608.2092207821806,perimeter_mid_zn_1,863.3043743447804,perimeter_mid_zn_3,197.45366548159953,perimeter_mid_zn_1,9.6992728753190498,perimeter_bot_zn_1,0.21678068368474612,perimeter_top_zn_2,16704,7851,4143,0,4710,1965,2430,7599,4710,4143,0,1965,4710,6910,41.367337164750957,0,0,False,35040,16704,4176,15,0.25,1555335748792.6963,249451281470.27341,432037.70799797121,69292.022630631502,501329.73062860273,20.055557192513771,25.472149026804956,3857.8189103812829,perimeter_mid_zn_1,863.30437430430879,perimeter_mid_zn_3,197.45366547686228,perimeter_mid_zn_1,4.5356521086477368,perimeter_bot_zn_1,0.090204990456537182,perimeter_top_zn_2,16704,9920,1871,0,4913,1996,1290,8505,4913,1871,0,1996,4913,6910,41.367337164750957,6910,41.367337164750957,True,-2607.9447817190085,4983.4858285466107,2375.5410468276241,249.60968959910224,-4.0471604734193534e-08,-4.7372452627314487e-09,-5.163620766671313,-0.12657569322820894,-0.1339514429085078,0.4013544718424491,2069,-2272,0,203,31,-1140,906,203,31,203,0,0,6910,41.367337164750957,0.47610403849275418
adaptive,rev01_adaptive24,REV01-A024-010,C1,rev01_adaptive_rm_clamp_10_33p5,paperb_adaptive_band_clamped_relax,paperb_adaptive_band_relax,SCALED-96-019,beijing_ssp245_present_typical,present_typical,Beijing,ssp245,baseline_2020s,typical,2026,beijing|ssp245|baseline_2020s|2026,,full_24_anchor_stress_test_grid,stress-test grid; time horizon and weather-year selection rule are confounded; not a causal future-climate contrast,0.90000000000000002,0.20000000000000001,0.10000000000000001,20,26,23.25,23.25,4,1,0.5,1,10,33.5,0.85433300000000001,93.200000000000003,corrected,training_contract,accepted_denver,35040,16704,4176,15,0.25,1413261746818.959,316511948344.172,392572.70744971081,87919.985651158888,480492.69310086971,20.338362441665826,24.866439548945518,1716.1506006477393,perimeter_mid_zn_1,28.910640018680926,perimeter_mid_zn_3,0,core_bottom,82.316786550906912,perimeter_bot_zn_1,14.517277564927936,perimeter_bot_zn_1,16704,6848,5308,0,4548,2182,3154,6820,4548,5308,0,2182,4548,6576,39.367816091954019,0,0,False,35040,16704,4176,15,0.25,1390056935856.2266,344882929311.15497,386126.9266267296,95800.813697543053,481927.74032427266,20.067319204980844,25.520444204980844,1942.9987189050787,perimeter_mid_zn_1,28.910640018792353,perimeter_mid_zn_3,0,core_bottom,64.257843714641709,perimeter_bot_zn_1,9.5996840366444065,perimeter_bot_zn_1,16704,10608,1369,0,4727,1829,918,9230,4727,1369,0,1829,4727,6576,39.367816091954019,6576,39.367816091954019,True,-6445.7808229812072,7880.8280463841656,1435.0472234029439,226.84811825733937,1.1142731182189891e-10,0,-18.058942836265203,-4.917593528283529,-0.27104323668498154,0.65400465603532609,3760,-3939,0,179,-353,-2236,2410,179,-353,179,0,0,6576,39.367816091954019,0.29866161213437742
adaptive,rev01_adaptive24,REV01-A024-018,C1,rev01_adaptive_rm_clamp_10_33p5,paperb_adaptive_band_clamped_relax,paperb_adaptive_band_relax,SCALED-96-031,beijing_ssp585_future_extreme,late_century_hot_extreme,Beijing,ssp585,late_2080s,heatwave_extreme,2089,beijing|ssp585|late_2080s|2089,,full_24_anchor_stress_test_grid,stress-test grid; time horizon and weather-year selection rule are confounded; not a causal future-climate contrast,0.90000000000000002,0.20000000000000001,0.10000000000000001,20,26,23.25,23.25,4,1,0.5,1,10,33.5,0.85433300000000001,93.200000000000003,corrected,training_contract,accepted_denver,35040,16704,4176,15,0.25,1642789544280.4607,222934835934.66855,456330.42896679463,61926.34331518571,518256.77228198032,20.191872370197398,25.199774669047972,3972.6091963709714,perimeter_mid_zn_1,869.99870037397375,perimeter_mid_zn_3,141.33096028165502,perimeter_mid_zn_3,12.150864888660076,perimeter_bot_zn_1,0,core_bottom,16704,8718,3421,0,4565,1901,2131,8107,4565,3421,0,1901,4565,5936,35.536398467432953,0,0,False,35040,16704,4176,15,0.25,1634240681863.1113,239467847345.08972,453955.74496197538,66518.846484747148,520474.59144672251,20.062157291105425,25.566602334208874,4188.9087874876568,perimeter_mid_zn_1,869.99870037780022,perimeter_mid_zn_3,141.33096027569897,perimeter_mid_zn_3,5.7706150463331438,perimeter_bot_zn_1,0,core_bottom,16704,10701,1451,0,4552,1827,1005,9320,4552,1451,0,1827,4552,5936,35.536398467432953,5936,35.536398467432953,True,-2374.6840048192535,4592.503169561438,2217.8191647421918,216.29959111668541,3.8264715840341523e-09,-5.9560534282354638e-09,-6.3802498423269318,0,-0.129715079091973,0.36682766516090126,1983,-1970,0,-13,-74,-1126,1213,-13,-74,-13,0,0,5936,35.536398467432953,0.42793828915669047
adaptive,rev01_adaptive24,REV01-A024-009,C1,rev01_adaptive_rm_clamp_10_33p5,paperb_adaptive_band_clamped_relax,paperb_adaptive_band_relax,SCALED-96-027,beijing_ssp585_present_typical,present_typical,Beijing,ssp585,baseline_2020s,typical,2026,beijing|ssp585|baseline_2020s|2026,,full_24_anchor_stress_test_grid,stress-test grid; time horizon and weather-year selection rule are confounded; not a causal future-climate contrast,0.90000000000000002,0.20000000000000001,0.10000000000000001,20,26,23.25,23.25,4,1,0.5,1,10,33.5,0.85433300000000001,93.200000000000003,corrected,training_contract,accepted_denver,35040,16704,4176,15,0.25,1420625592062.5215,333284966893.72589,394618.2200173671,92579.157470479418,487197.37748784653,20.385658932828356,24.848302610989276,1837.6203690653801,perimeter_top_zn_4,5.5313132726809764,perimeter_top_zn_4,0,core_bottom,103.79178857465205,perimeter_bot_zn_1,23.698845995133322,perimeter_bot_zn_1,16704,6549,5644,0,4511,2201,3583,6409,4511,5644,0,2201,4511,7026,42.061781609195407,0,0,False,35040,16704,4176,15,0.25,1395316424589.3992,362482434398.54309,387587.89571927756,100689.56511070642,488277.46082998399,20.074039853852369,25.560435327990302,2062.2400646959918,perimeter_mid_zn_1,5.5313132726613645,perimeter_top_zn_4,0,core_bottom,85.041007367014345,perimeter_bot_zn_1,19.796765096907389,perimeter_bot_zn_1,16704,10461,1380,13,4850,1742,958,9154,4850,1380,13,1742,4850,7026,42.061781609195407,7026,42.061781609195407,True,-7030.3242980895448,8110.4076402270002,1080.0833421374555,224.61969563061166,-1.9611867685398465e-11,0,-18.750781207637701,-3.9020808982259325,-0.31161907897598695,0.71213271700102609,3912,-4264,13,339,-459,-2625,2745,339,-459,339,0,0,7026,42.061781609195407,0.22169317653283116
adaptive,rev01_adaptive24,REV01-A024-023,C1,rev01_adaptive_rm_clamp_10_33p5,paperb_adaptive_band_clamped_relax,paperb_adaptive_band_relax,SCALED-96-039,guangzhou_ssp245_future_extreme,late_century_hot_extreme,Guangzhou,ssp245,late_2080s,heatwave_extreme,2088,guangzhou|ssp245|late_2080s|2088,,full_24_anchor_stress_test_grid,stress-test grid; time horizon and weather-year selection rule are confounded; not a causal future-climate contrast,0.90000000000000002,0.20000000000000001,0.10000000000000001,20,26,23.25,23.25,4,1,0.5,1,10,33.5,0.85433300000000001,93.200000000000003,corrected,training_contract,accepted_denver,35040,16704,4176,15,0.25,1924851674088.5725,100356140159.41161,534681.02058015903,27876.705599836558,562557.72617999557,20.05745629789272,25.775906968390803,6806.1002058817967,perimeter_mid_zn_1,1658.9897320312675,perimeter_mid_zn_1,118.70366785991924,perimeter_mid_zn_1,0,core_bottom,0,core_bottom,16704,12572,387,0,3745,1366,215,11378,3745,387,0,1366,3745,0,0,0,0,False,35040,16704,4176,15,0.25,1924851674088.5725,100356140159.41161,534681.02058015903,27876.705599836558,562557.72617999557,20.05745629789272,25.775906968390803,6806.1002058817967,perimeter_mid_zn_1,1658.9897320312675,perimeter_mid_zn_1,118.70366785991924,perimeter_mid_zn_1,0,core_bottom,0,core_bottom,16704,12572,387,0,3745,1366,215,11378,3745,387,0,1366,3745,0,0,0,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adaptive,rev01_adaptive24,REV01-A024-008,C1,rev01_adaptive_rm_clamp_10_33p5,paperb_adaptive_band_clamped_relax,paperb_adaptive_band_relax,SCALED-96-035,guangzhou_ssp245_present_typical,present_typical,Guangzhou,ssp245,baseline_2020s,typical,2025,guangzhou|ssp245|baseline_2020s|2025,,full_24_anchor_stress_test_grid,stress-test grid; time horizon and weather-year selection rule are confounded; not a causal future-climate contrast,0.90000000000000002,0.20000000000000001,0.10000000000000001,20,26,23.25,23.25,4,1,0.5,1,10,33.5,0.85433300000000001,93.200000000000003,corrected,training_contract,accepted_denver,35040,16704,4176,15,0.25,1773099547435.3342,97695027991.152084,492527.65206537064,27137.507775320024,519665.15984069067,20.058084889846743,25.818067528735632,5106.4354087675774,perimeter_mid_zn_1,744.22855227501725,perimeter_bot_zn_1,23.347818206168053,perimeter_mid_zn_1,0,core_bottom,0,core_bottom,16704,12295,285,0,4124,1289,160,11131,4124,285,0,1289,4124,0,0,0,0,False,35040,16704,4176,15,0.25,1773099547435.3342,97695027991.152084,492527.65206537064,27137.507775320024,519665.15984069067,20.058084889846743,25.818067528735632,5106.4354087675774,perimeter_mid_zn_1,744.22855227501725,perimeter_bot_zn_1,23.347818206168053,perimeter_mid_zn_1,0,core_bottom,0,core_bottom,16704,12295,285,0,4124,1289,160,11131,4124,285,0,1289,4124,0,0,0,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
