matrix_schema_version,batch_id,cell_id,experiment,variant_id,policy_label,strategy,anchor_id,anchor_order,anchor_role,city,climate_role,scenario,time_slice,selector_role,weather_year,physical_condition_id,selector_label_id,weather_sha256,weather_data_sha256,weather_stem,source_idf_sha256,source_ddy_sha256,companion_site_location_name,companion_latitude_deg,companion_longitude_deg,companion_time_zone_hours,companion_elevation_m,runtime_epw_location_name,runtime_epw_latitude_deg,runtime_epw_longitude_deg,runtime_epw_time_zone_hours,runtime_epw_elevation_m,runtime_epw_location_header_sha256,heating_design_day_name,cooling_design_day_name,accepted_comparator_strategy,accepted_comparator_cell_id,expected_trace_rows,expected_occupied_rows,accepted_matrix_sha256,accepted_idf_sha256,accepted_model_sha256,resume_permitted,reuse_or_splice_permitted,purge_permitted,paperb_spatial_quantile,paperb_signal_alpha,paperb_tail_threshold,paperb_asym_threshold,paperb_save_heat_c,paperb_save_cool_c,paperb_warm_protect_cool_c,paperb_cold_protect_heat_c,paperb_tighten_dwell_steps,paperb_relax_dwell_steps,paperb_pmv_threshold,paperb_adaptive_rm_clamp_low_c,paperb_adaptive_rm_clamp_high_c,paperb_met,paperb_people_activity_w,controller_semantics,inference_preprocessing,sizing_contract
paperb_enb_rev01_cell_matrix_v1,REV01-C2-012-20260825-v2,REV01-C2-012-001,C2,rev01_c2_beijing_fixed,fixed,diagnostic_reference,beijing_ssp585_present_typical,1,present_typical,Beijing,continental_hot_summer,ssp585,baseline_2020s,typical,2026,beijing|ssp585|baseline_2020s|2026,beijing_ssp585_baseline_2020s_typical_2026,5a40f836f1296f36c722fac82c7679cb69a127d8d3eac7f50ad76f1348a4544d,0c6303cb9b5689ce14d007489cf8ca78aacfe83a544f1c739ad6f67fd392898a,beijing_ssp585_baseline_2020s_typical_2026,107a06c25259e780ad3eebca065bb4d79b18c3c92d2a314d145fcfb13eeda618,c03c2e56216f793d3c2d17f5dca18bc86d77a9a9b20a93e8b9f96154b79c38f3,BEIJING_CHN Design_Conditions,39.8,116.47,8.0,32.0,Beijing Synthetic CMIP6-MPI-0515 999999,39.9042,116.4074,8.0,44.0,90e4b458464373a588d52bdd65a460e9f07e88cae6686ce9aa801ae88802e572,BEIJING Ann Htg 99.6% Condns DB,BEIJING Ann Clg .4% Condns DB=>MWB,diagnostic_reference,SCALED-96-025,35040,16704,fa03767f0c3d581e65e00ff6149546c44fe3e936608da73ad2f5485bf19895e0,1144b58b848992d1730e49ef9c252569e3a515d82a2f99b2c0233352f625a7e4,6fbeb06644a36b226b17824a1fca7526bd518e0a9b76a41f878fb1c27efcd619,False,False,False,0.9,1.0,0.2,0.1,20.0,26.0,23.25,23.25,4,1,0.5,10.0,33.5,0.854333,93.2,corrected,training_contract,city_ddy
paperb_enb_rev01_cell_matrix_v1,REV01-C2-012-20260825-v2,REV01-C2-012-002,C2,rev01_c2_beijing_pmv,pmv,paperb_pmv_relax,beijing_ssp585_present_typical,1,present_typical,Beijing,continental_hot_summer,ssp585,baseline_2020s,typical,2026,beijing|ssp585|baseline_2020s|2026,beijing_ssp585_baseline_2020s_typical_2026,5a40f836f1296f36c722fac82c7679cb69a127d8d3eac7f50ad76f1348a4544d,0c6303cb9b5689ce14d007489cf8ca78aacfe83a544f1c739ad6f67fd392898a,beijing_ssp585_baseline_2020s_typical_2026,107a06c25259e780ad3eebca065bb4d79b18c3c92d2a314d145fcfb13eeda618,c03c2e56216f793d3c2d17f5dca18bc86d77a9a9b20a93e8b9f96154b79c38f3,BEIJING_CHN Design_Conditions,39.8,116.47,8.0,32.0,Beijing Synthetic CMIP6-MPI-0515 999999,39.9042,116.4074,8.0,44.0,90e4b458464373a588d52bdd65a460e9f07e88cae6686ce9aa801ae88802e572,BEIJING Ann Htg 99.6% Condns DB,BEIJING Ann Clg .4% Condns DB=>MWB,paperb_pmv_relax,SCALED-96-026,35040,16704,fa03767f0c3d581e65e00ff6149546c44fe3e936608da73ad2f5485bf19895e0,1144b58b848992d1730e49ef9c252569e3a515d82a2f99b2c0233352f625a7e4,6fbeb06644a36b226b17824a1fca7526bd518e0a9b76a41f878fb1c27efcd619,False,False,False,0.9,1.0,0.2,0.1,20.0,26.0,23.25,23.25,4,1,0.5,10.0,33.5,0.854333,93.2,corrected,training_contract,city_ddy
paperb_enb_rev01_cell_matrix_v1,REV01-C2-012-20260825-v2,REV01-C2-012-003,C2,rev01_c2_beijing_adaptive_band,adaptive_band,paperb_adaptive_band_relax,beijing_ssp585_present_typical,1,present_typical,Beijing,continental_hot_summer,ssp585,baseline_2020s,typical,2026,beijing|ssp585|baseline_2020s|2026,beijing_ssp585_baseline_2020s_typical_2026,5a40f836f1296f36c722fac82c7679cb69a127d8d3eac7f50ad76f1348a4544d,0c6303cb9b5689ce14d007489cf8ca78aacfe83a544f1c739ad6f67fd392898a,beijing_ssp585_baseline_2020s_typical_2026,107a06c25259e780ad3eebca065bb4d79b18c3c92d2a314d145fcfb13eeda618,c03c2e56216f793d3c2d17f5dca18bc86d77a9a9b20a93e8b9f96154b79c38f3,BEIJING_CHN Design_Conditions,39.8,116.47,8.0,32.0,Beijing Synthetic CMIP6-MPI-0515 999999,39.9042,116.4074,8.0,44.0,90e4b458464373a588d52bdd65a460e9f07e88cae6686ce9aa801ae88802e572,BEIJING Ann Htg 99.6% Condns DB,BEIJING Ann Clg .4% Condns DB=>MWB,paperb_adaptive_band_relax,SCALED-96-027,35040,16704,fa03767f0c3d581e65e00ff6149546c44fe3e936608da73ad2f5485bf19895e0,1144b58b848992d1730e49ef9c252569e3a515d82a2f99b2c0233352f625a7e4,6fbeb06644a36b226b17824a1fca7526bd518e0a9b76a41f878fb1c27efcd619,False,False,False,0.9,1.0,0.2,0.1,20.0,26.0,23.25,23.25,4,1,0.5,10.0,33.5,0.854333,93.2,corrected,training_contract,city_ddy
paperb_enb_rev01_cell_matrix_v1,REV01-C2-012-20260825-v2,REV01-C2-012-004,C2,rev01_c2_beijing_learned_p90,learned_p90,paperb_p90_tail_asym_relax,beijing_ssp585_present_typical,1,present_typical,Beijing,continental_hot_summer,ssp585,baseline_2020s,typical,2026,beijing|ssp585|baseline_2020s|2026,beijing_ssp585_baseline_2020s_typical_2026,5a40f836f1296f36c722fac82c7679cb69a127d8d3eac7f50ad76f1348a4544d,0c6303cb9b5689ce14d007489cf8ca78aacfe83a544f1c739ad6f67fd392898a,beijing_ssp585_baseline_2020s_typical_2026,107a06c25259e780ad3eebca065bb4d79b18c3c92d2a314d145fcfb13eeda618,c03c2e56216f793d3c2d17f5dca18bc86d77a9a9b20a93e8b9f96154b79c38f3,BEIJING_CHN Design_Conditions,39.8,116.47,8.0,32.0,Beijing Synthetic CMIP6-MPI-0515 999999,39.9042,116.4074,8.0,44.0,90e4b458464373a588d52bdd65a460e9f07e88cae6686ce9aa801ae88802e572,BEIJING Ann Htg 99.6% Condns DB,BEIJING Ann Clg .4% Condns DB=>MWB,paperb_p90_tail_asym_relax,SCALED-96-028,35040,16704,fa03767f0c3d581e65e00ff6149546c44fe3e936608da73ad2f5485bf19895e0,1144b58b848992d1730e49ef9c252569e3a515d82a2f99b2c0233352f625a7e4,6fbeb06644a36b226b17824a1fca7526bd518e0a9b76a41f878fb1c27efcd619,False,False,False,0.9,1.0,0.2,0.1,20.0,26.0,23.25,23.25,4,1,0.5,10.0,33.5,0.854333,93.2,corrected,training_contract,city_ddy
paperb_enb_rev01_cell_matrix_v1,REV01-C2-012-20260825-v2,REV01-C2-012-005,C2,rev01_c2_guangzhou_fixed,fixed,diagnostic_reference,guangzhou_ssp585_future_extreme,2,future_extreme,Guangzhou,hot-humid/subtropical,ssp585,late_2080s,heatwave_extreme,2086,guangzhou|ssp585|late_2080s|2086,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,ee4bba1d4bd0a04bd75302a6044fdf0b6bbd1b811a20cae20b14c8728cb6e17b,bbe77402449ca1ad211b9a4871f9eb6673bd74141992af627c86468284b1666c,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,86aa60a32c938ec933b80fe499abf22b5c2a681dd593b9bcbf642750c09b560e,a6e1edd6f72729770016e302d6f1bd2293a994db1c6ceac303fb64a749e784b7,GUANGZHOU_CHN Design_Conditions,23.13,113.32,8.0,8.0,Guangzhou Synthetic CMIP6-MPI-0515 999999,23.1291,113.2644,8.0,21.0,c2cee7f23136d7349716bbc90de675efac309fcf4fb87aa013e367805243048a,GUANGZHOU Ann Htg 99.6% Condns DB,GUANGZHOU Ann Clg .4% Condns DB=>MWB,diagnostic_reference,SCALED-96-045,35040,16704,fa03767f0c3d581e65e00ff6149546c44fe3e936608da73ad2f5485bf19895e0,1144b58b848992d1730e49ef9c252569e3a515d82a2f99b2c0233352f625a7e4,6fbeb06644a36b226b17824a1fca7526bd518e0a9b76a41f878fb1c27efcd619,False,False,False,0.9,1.0,0.2,0.1,20.0,26.0,23.25,23.25,4,1,0.5,10.0,33.5,0.854333,93.2,corrected,training_contract,city_ddy
paperb_enb_rev01_cell_matrix_v1,REV01-C2-012-20260825-v2,REV01-C2-012-006,C2,rev01_c2_guangzhou_pmv,pmv,paperb_pmv_relax,guangzhou_ssp585_future_extreme,2,future_extreme,Guangzhou,hot-humid/subtropical,ssp585,late_2080s,heatwave_extreme,2086,guangzhou|ssp585|late_2080s|2086,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,ee4bba1d4bd0a04bd75302a6044fdf0b6bbd1b811a20cae20b14c8728cb6e17b,bbe77402449ca1ad211b9a4871f9eb6673bd74141992af627c86468284b1666c,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,86aa60a32c938ec933b80fe499abf22b5c2a681dd593b9bcbf642750c09b560e,a6e1edd6f72729770016e302d6f1bd2293a994db1c6ceac303fb64a749e784b7,GUANGZHOU_CHN Design_Conditions,23.13,113.32,8.0,8.0,Guangzhou Synthetic CMIP6-MPI-0515 999999,23.1291,113.2644,8.0,21.0,c2cee7f23136d7349716bbc90de675efac309fcf4fb87aa013e367805243048a,GUANGZHOU Ann Htg 99.6% Condns DB,GUANGZHOU Ann Clg .4% Condns DB=>MWB,paperb_pmv_relax,SCALED-96-046,35040,16704,fa03767f0c3d581e65e00ff6149546c44fe3e936608da73ad2f5485bf19895e0,1144b58b848992d1730e49ef9c252569e3a515d82a2f99b2c0233352f625a7e4,6fbeb06644a36b226b17824a1fca7526bd518e0a9b76a41f878fb1c27efcd619,False,False,False,0.9,1.0,0.2,0.1,20.0,26.0,23.25,23.25,4,1,0.5,10.0,33.5,0.854333,93.2,corrected,training_contract,city_ddy
paperb_enb_rev01_cell_matrix_v1,REV01-C2-012-20260825-v2,REV01-C2-012-007,C2,rev01_c2_guangzhou_adaptive_band,adaptive_band,paperb_adaptive_band_relax,guangzhou_ssp585_future_extreme,2,future_extreme,Guangzhou,hot-humid/subtropical,ssp585,late_2080s,heatwave_extreme,2086,guangzhou|ssp585|late_2080s|2086,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,ee4bba1d4bd0a04bd75302a6044fdf0b6bbd1b811a20cae20b14c8728cb6e17b,bbe77402449ca1ad211b9a4871f9eb6673bd74141992af627c86468284b1666c,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,86aa60a32c938ec933b80fe499abf22b5c2a681dd593b9bcbf642750c09b560e,a6e1edd6f72729770016e302d6f1bd2293a994db1c6ceac303fb64a749e784b7,GUANGZHOU_CHN Design_Conditions,23.13,113.32,8.0,8.0,Guangzhou Synthetic CMIP6-MPI-0515 999999,23.1291,113.2644,8.0,21.0,c2cee7f23136d7349716bbc90de675efac309fcf4fb87aa013e367805243048a,GUANGZHOU Ann Htg 99.6% Condns DB,GUANGZHOU Ann Clg .4% Condns DB=>MWB,paperb_adaptive_band_relax,SCALED-96-047,35040,16704,fa03767f0c3d581e65e00ff6149546c44fe3e936608da73ad2f5485bf19895e0,1144b58b848992d1730e49ef9c252569e3a515d82a2f99b2c0233352f625a7e4,6fbeb06644a36b226b17824a1fca7526bd518e0a9b76a41f878fb1c27efcd619,False,False,False,0.9,1.0,0.2,0.1,20.0,26.0,23.25,23.25,4,1,0.5,10.0,33.5,0.854333,93.2,corrected,training_contract,city_ddy
paperb_enb_rev01_cell_matrix_v1,REV01-C2-012-20260825-v2,REV01-C2-012-008,C2,rev01_c2_guangzhou_learned_p90,learned_p90,paperb_p90_tail_asym_relax,guangzhou_ssp585_future_extreme,2,future_extreme,Guangzhou,hot-humid/subtropical,ssp585,late_2080s,heatwave_extreme,2086,guangzhou|ssp585|late_2080s|2086,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,ee4bba1d4bd0a04bd75302a6044fdf0b6bbd1b811a20cae20b14c8728cb6e17b,bbe77402449ca1ad211b9a4871f9eb6673bd74141992af627c86468284b1666c,guangzhou_ssp585_late_2080s_heatwave_extreme_2086,86aa60a32c938ec933b80fe499abf22b5c2a681dd593b9bcbf642750c09b560e,a6e1edd6f72729770016e302d6f1bd2293a994db1c6ceac303fb64a749e784b7,GUANGZHOU_CHN Design_Conditions,23.13,113.32,8.0,8.0,Guangzhou Synthetic CMIP6-MPI-0515 999999,23.1291,113.2644,8.0,21.0,c2cee7f23136d7349716bbc90de675efac309fcf4fb87aa013e367805243048a,GUANGZHOU Ann Htg 99.6% Condns DB,GUANGZHOU Ann Clg .4% Condns DB=>MWB,paperb_p90_tail_asym_relax,SCALED-96-048,35040,16704,fa03767f0c3d581e65e00ff6149546c44fe3e936608da73ad2f5485bf19895e0,1144b58b848992d1730e49ef9c252569e3a515d82a2f99b2c0233352f625a7e4,6fbeb06644a36b226b17824a1fca7526bd518e0a9b76a41f878fb1c27efcd619,False,False,False,0.9,1.0,0.2,0.1,20.0,26.0,23.25,23.25,4,1,0.5,10.0,33.5,0.854333,93.2,corrected,training_contract,city_ddy
paperb_enb_rev01_cell_matrix_v1,REV01-C2-012-20260825-v2,REV01-C2-012-009,C2,rev01_c2_phoenix_fixed,fixed,diagnostic_reference,phoenix_ssp585_future_extreme,2,future_extreme,Phoenix,hot-dry/desert,ssp585,late_2080s,heatwave_extreme,2085,phoenix|ssp585|late_2080s|2085,phoenix_ssp585_late_2080s_heatwave_extreme_2085,c87bca757674ef4c90d121199fccd9052a4d8638951ca9d32c0655b0b5310380,92a7c51002b75939f8663277f90d95980bccc20f1c1354af68cd20471eead7c5,phoenix_ssp585_late_2080s_heatwave_extreme_2085,4191de81cba6c3f3b45c0b0a15accd93b9401a75bddb4ae6a44dbd5ef015a90e,e16dfb4101f91f50443d639f0d38e346cf4f1eeff954e7e3240fe752dbf4df5c,Phoenix Sky Harbor Intl Ap_AZ_USA Design_Conditions,33.45,-111.98,-7.0,337.0,Phoenix Synthetic CMIP6-MPI-0515 999999,33.4484,-112.074,-7.0,331.0,c87e25756a41c8c9d587a8876d51f737bc1e14ca03a9211261c954352040e999,Phoenix Sky Harbor Intl Ap Ann Htg 99.6% Condns DB,Phoenix Sky Harbor Intl Ap Ann Clg .4% Condns DB=>MWB,diagnostic_reference,SCALED-96-093,35040,16704,fa03767f0c3d581e65e00ff6149546c44fe3e936608da73ad2f5485bf19895e0,1144b58b848992d1730e49ef9c252569e3a515d82a2f99b2c0233352f625a7e4,6fbeb06644a36b226b17824a1fca7526bd518e0a9b76a41f878fb1c27efcd619,False,False,False,0.9,1.0,0.2,0.1,20.0,26.0,23.25,23.25,4,1,0.5,10.0,33.5,0.854333,93.2,corrected,training_contract,city_ddy
paperb_enb_rev01_cell_matrix_v1,REV01-C2-012-20260825-v2,REV01-C2-012-010,C2,rev01_c2_phoenix_pmv,pmv,paperb_pmv_relax,phoenix_ssp585_future_extreme,2,future_extreme,Phoenix,hot-dry/desert,ssp585,late_2080s,heatwave_extreme,2085,phoenix|ssp585|late_2080s|2085,phoenix_ssp585_late_2080s_heatwave_extreme_2085,c87bca757674ef4c90d121199fccd9052a4d8638951ca9d32c0655b0b5310380,92a7c51002b75939f8663277f90d95980bccc20f1c1354af68cd20471eead7c5,phoenix_ssp585_late_2080s_heatwave_extreme_2085,4191de81cba6c3f3b45c0b0a15accd93b9401a75bddb4ae6a44dbd5ef015a90e,e16dfb4101f91f50443d639f0d38e346cf4f1eeff954e7e3240fe752dbf4df5c,Phoenix Sky Harbor Intl Ap_AZ_USA Design_Conditions,33.45,-111.98,-7.0,337.0,Phoenix Synthetic CMIP6-MPI-0515 999999,33.4484,-112.074,-7.0,331.0,c87e25756a41c8c9d587a8876d51f737bc1e14ca03a9211261c954352040e999,Phoenix Sky Harbor Intl Ap Ann Htg 99.6% Condns DB,Phoenix Sky Harbor Intl Ap Ann Clg .4% Condns DB=>MWB,paperb_pmv_relax,SCALED-96-094,35040,16704,fa03767f0c3d581e65e00ff6149546c44fe3e936608da73ad2f5485bf19895e0,1144b58b848992d1730e49ef9c252569e3a515d82a2f99b2c0233352f625a7e4,6fbeb06644a36b226b17824a1fca7526bd518e0a9b76a41f878fb1c27efcd619,False,False,False,0.9,1.0,0.2,0.1,20.0,26.0,23.25,23.25,4,1,0.5,10.0,33.5,0.854333,93.2,corrected,training_contract,city_ddy
