archive_relative_path,anchor_id,anchor_role,city,climate_role,scenario,scenario_label,time_slice,selector_role,weather_year,epw_hour_records,size_bytes,sha256,data_sha256,gcm,rcm,reference_period,delta_mode,cmip6_member,native_grid,source_dataset_version,source_dataset_doi,source_dataset_license
weather/files/ssp245/Ahmedabad/ahmedabad_ssp245_baseline_2020s_typical_2025.epw,ahmedabad_ssp245_present_typical,present_typical,Ahmedabad,hot-dry/composite,ssp245,SSP2-4.5,baseline_2020s,typical,2025,8760,1367408,0e31e360a2469e76a908820ccee3d2f2823fd014faa9eb7beab242c9ab680ed4,dd901e9649c2674cdced993e8f00ed69849eead51f08823f55f32ca2edf649af,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6693,CC BY 4.0
weather/files/ssp245/Ahmedabad/ahmedabad_ssp245_late_2080s_heatwave_extreme_2081.epw,ahmedabad_ssp245_future_extreme,future_extreme,Ahmedabad,hot-dry/composite,ssp245,SSP2-4.5,late_2080s,heatwave_extreme,2081,8760,1367648,1276fe8ed35192baf228e9b8035cac62d73d7e398540bc4b3bc12fdf5403c51a,0878c640c77cf59b3c456c404a8bc3ccf079e3779cfa8fa778f64b3cd89657be,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6693,CC BY 4.0
weather/files/ssp245/Beijing/beijing_ssp245_baseline_2020s_typical_2026.epw,beijing_ssp245_present_typical,present_typical,Beijing,continental_hot_summer,ssp245,SSP2-4.5,baseline_2020s,typical,2026,8760,1365290,082361bd6fc0fd12e8479b678e6fe48446b3cc37e2e2eb99ae8e9af86491e1af,e1a396ce14cdae050d4a276f4bf5e20b254f65d8f116954665771888b46ff24b,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6693,CC BY 4.0
weather/files/ssp245/Beijing/beijing_ssp245_late_2080s_heatwave_extreme_2084.epw,beijing_ssp245_future_extreme,future_extreme,Beijing,continental_hot_summer,ssp245,SSP2-4.5,late_2080s,heatwave_extreme,2084,8784,1367911,ffe2b43992e4700bb0e66172497993e2fa6fd98d49d746f748d22278298ee4af,522121311c489c4558e3a58902e0045ebbe0eacf6c951a009d62e7b7c2a70f67,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6693,CC BY 4.0
weather/files/ssp245/Guangzhou/guangzhou_ssp245_baseline_2020s_typical_2025.epw,guangzhou_ssp245_present_typical,present_typical,Guangzhou,hot-humid/subtropical,ssp245,SSP2-4.5,baseline_2020s,typical,2025,8760,1364833,44a03c936fd250346719945a731476eb1bb32a9eedeb7b63a35574f285811a90,69c4523a6b289c52fcb3863ec6e0df115fecad68709320256967febbe86d906e,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6693,CC BY 4.0
weather/files/ssp245/Guangzhou/guangzhou_ssp245_late_2080s_heatwave_extreme_2088.epw,guangzhou_ssp245_future_extreme,future_extreme,Guangzhou,hot-humid/subtropical,ssp245,SSP2-4.5,late_2080s,heatwave_extreme,2088,8784,1368684,9b32fb1aa75ee764c7a14daf1fa5a7281d3e84cd27c22db774dec297bfe926e0,7b07031aef5e91cf018b8438fd01cb15c63af4d21c010251a3e6fed538b5d8c5,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6693,CC BY 4.0
weather/files/ssp245/Houston/houston_ssp245_baseline_2020s_typical_2027.epw,houston_ssp245_present_typical,present_typical,Houston,hot-humid,ssp245,SSP2-4.5,baseline_2020s,typical,2027,8760,1365735,afa71b56bc749bb1e2e3f4e837cb6bd0ed2b8601bef43520c0dddfa92083b975,f02b0a102d7199a5ee742ff1a3df437c05286005d29b1a16657869ca81e1a681,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6693,CC BY 4.0
weather/files/ssp245/Houston/houston_ssp245_late_2080s_heatwave_extreme_2081.epw,houston_ssp245_future_extreme,future_extreme,Houston,hot-humid,ssp245,SSP2-4.5,late_2080s,heatwave_extreme,2081,8760,1365194,0b046cbba5cec27bf601f0ee81a2962d8abf638d55f1231f97a4c8fb33c26875,927a98917a75a7725ae6a73f1df78533a59b565d9b3fa275c66df2ef87886d30,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6693,CC BY 4.0
weather/files/ssp245/Kolkata/kolkata_ssp245_baseline_2020s_typical_2026.epw,kolkata_ssp245_present_typical,present_typical,Kolkata,hot-humid/deltaic,ssp245,SSP2-4.5,baseline_2020s,typical,2026,8760,1363740,327a2c290986df23a67c2f30d34f5231243ba9b9637b3e4c9ff1d112eb0ac1a9,79dd9d04914e697174ed85a53c1097c16a6ac61c9408aa2c8085da25ec13d9ee,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6693,CC BY 4.0
weather/files/ssp245/Kolkata/kolkata_ssp245_late_2080s_heatwave_extreme_2086.epw,kolkata_ssp245_future_extreme,future_extreme,Kolkata,hot-humid/deltaic,ssp245,SSP2-4.5,late_2080s,heatwave_extreme,2086,8760,1364038,cf0a35973bd0f53ac798a0606bbb16f5abd48dfc8e0dd4f8c0170f1e500628fa,3e673299901167bf897b0c78e87175e86456ee2be29781749415fb0dbd012fa3,MPI-ESM1-2-LR,N/A,1991-2010,daily,not_recovered,not_recovered,not_recovered,10.22033/ESGF/CMIP6.6693,CC BY 4.0
